Movie_id,Title
1,Toy Story
2,GoldenEye
3,Four Rooms
4,Get Shorty
5,Copycat
6,Shanghai Triad 
7,Twelve Monkeys
8,Babe
9,Dead Man Walking
10,Richard III
11,Seven 
12,Usual Suspects
13,Mighty Aphrodite
14,Postino
15,Mr. Holland's Opus
16,French Twist 
17,From Dusk Till Dawn
18,White Balloon
19,Antonia's Line
20,Angels and Insects
21,Muppet Treasure Island
22,Braveheart
23,Taxi Driver
24,Rumble in the Bronx
25,Birdcage
26,Brothers McMullen
27,Bad Boys
28,Apollo 13
29,Batman Forever
30,Belle de jour
31,Crimson Tide
32,Crumb
33,Desperado
34,Doom Generation
35,Free Willy 2: The Adventure Home
36,Mad Love
37,Nadja
38,Net
39,Strange Days
40,To Wong Foo
41,Billy Madison
42,Clerks
43,Disclosure
44,Dolores Claiborne
45,Eat Drink Man Woman
46,Exotica
47,Ed Wood
48,Hoop Dreams
49,I.Q.
50,Star Wars
51,Legends of the Fall
52,Madness of King George
53,Natural Born Killers
54,Outbreak
55,Professional
56,Pulp Fiction
57,Priest
58,Quiz Show
59,Three Colors: Red
60,Three Colors: Blue
61,Three Colors: White
62,Stargate
63,Santa Clause
64,Shawshank Redemption
65,What's Eating Gilbert Grape
66,While You Were Sleeping
67,Ace Ventura: Pet Detective
68,Crow
69,Forrest Gump
70,Four Weddings and a Funeral
71,Lion King
72,Mask
73,Maverick
74,Faster Pussycat! Kill! Kill!
75,Brother Minister: The Assassination of Malcolm X
76,Carlito's Way
77,Firm
78,Free Willy
79,Fugitive
80,Hot Shots! Part Deux
81,Hudsucker Proxy
82,Jurassic Park
83,Much Ado About Nothing
84,Robert A. Heinlein's The Puppet Masters
85,Ref
86,Remains of the Day
87,Searching for Bobby Fischer
88,Sleepless in Seattle
89,Blade Runner
90,So I Married an Axe Murderer
91,Nightmare Before Christmas
92,True Romance
93,Welcome to the Dollhouse
94,Home Alone
95,Aladdin
96,Terminator 2: Judgment Day
97,Dances with Wolves
98,Silence of the Lambs
99,Snow White and the Seven Dwarfs
100,Fargo
101,Heavy Metal
102,Aristocats
103,All Dogs Go to Heaven 2
104,Theodore Rex
105,Sgt. Bilko
106,Diabolique
107,Moll Flanders
108,Kids in the Hall: Brain Candy
109,Mystery Science Theater 3000: The Movie
110,Operation Dumbo Drop
111,Truth About Cats & Dogs
112,Flipper
113,Horseman on the Roof
114,Wallace & Gromit: The Best of Aardman Animation
115,Haunted World of Edward D. Wood Jr.
116,Cold Comfort Farm
117,Rock
118,Twister
119,Maya Lin: A Strong Clear Vision
120,Striptease
121,Independence Day 
122,Cable Guy
123,Frighteners
124,Lone Star
125,Phenomenon
126,Spitfire Grill
127,Godfather
128,Supercop
129,Bound
130,Kansas City
131,Breakfast at Tiffany's
132,Wizard of Oz
133,Gone with the Wind
134,Citizen Kane
135,2001: A Space Odyssey
136,Mr. Smith Goes to Washington
137,Big Night
138,D3: The Mighty Ducks
139,Love Bug
140,Homeward Bound: The Incredible Journey
141,20
142,Bedknobs and Broomsticks
143,Sound of Music
144,Die Hard
145,Lawnmower Man
146,Unhook the Stars
147,Long Kiss Goodnight
148,Ghost and the Darkness
149,Jude
150,Swingers
151,Willy Wonka and the Chocolate Factory
152,Sleeper
153,Fish Called Wanda
154,Monty Python's Life of Brian
155,Dirty Dancing
156,Reservoir Dogs
157,Platoon
158,Weekend at Bernie's
159,Basic Instinct
160,Glengarry Glen Ross
161,Top Gun
162,On Golden Pond
163,Return of the Pink Panther
164,Abyss
165,Jean de Florette
